UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA_DE_VOTACION;DESCRIP_ESTADO_ACTA;TIPO_OBSERVACION;N_CVAS;N_ELEC_HABIL;VOTOS_P1;VOTOS_P2;VOTOS_P3;VOTOS_P4;VOTOS_P5;VOTOS_P6;VOTOS_P7;VOTOS_P8;VOTOS_P9;VOTOS_P10;VOTOS_P11;VOTOS_P12;VOTOS_P13;VOTOS_P14;VOTOS_P15;VOTOS_P16;VOTOS_P17;VOTOS_P18;VOTOS_P19;VOTOS_P20;VOTOS_VB;VOTOS_VN;VOTOS_VI
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;102;CONTABILIZADAS NORMALES;;189;209;0;10;9;44;0;0;0;1;39;0;0;1;15;0;0;0;40;0;0;0;22;8;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;103;CONTABILIZADAS NORMALES;;186;208;0;8;8;44;2;2;0;0;21;0;3;0;11;1;0;0;55;0;0;0;28;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;104;CONTABILIZADAS NORMALES;;185;207;0;11;4;38;2;1;0;0;42;1;1;1;15;0;0;3;38;0;0;0;25;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;106;CONTABILIZADAS NORMALES;;187;203;0;11;9;37;0;2;0;0;22;0;0;0;17;1;0;1;60;0;0;0;25;2;0
250104;UCAYALI;CORONEL PORTILLO;CAMPOVERDE;PRESIDENCIAL;107;CONTABILIZADAS NORMALES;;116;144;0;3;6;32;0;1;0;2;6;0;0;1;4;0;0;0;36;0;0;1;18;6;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;108;CONTABILIZADAS NORMALES;;185;208;0;4;5;28;3;1;0;0;87;0;0;0;14;0;0;0;24;1;0;0;14;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;109;CONTABILIZADAS NORMALES;;185;208;0;17;4;45;1;3;0;0;21;1;0;2;9;0;1;0;40;2;0;0;36;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;112;CONTABILIZADAS NORMALES;;213;240;2;11;6;58;0;2;0;0;34;1;0;0;10;1;1;0;43;0;0;1;38;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;117;CONTABILIZADAS NORMALES;;178;205;0;7;9;41;1;1;1;0;35;0;0;0;12;0;0;0;40;0;1;0;29;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;119;CONTABILIZADAS NORMALES;;187;209;1;7;9;44;0;3;0;0;32;0;0;0;11;0;0;0;48;0;0;0;30;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;120;CONTABILIZADAS NORMALES;;187;205;0;3;19;48;2;3;0;0;27;0;1;0;13;1;0;0;40;0;1;0;27;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;121;CONTABILIZADAS NORMALES;;185;209;0;11;10;50;0;1;1;2;25;1;1;0;13;1;0;0;47;0;1;0;20;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;123;CONTABILIZADAS NORMALES;;190;206;0;10;16;31;2;1;0;1;23;0;2;1;13;0;0;0;39;0;2;0;42;7;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;125;CONTABILIZADAS ANULADAS;;182;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;126;CONTABILIZADAS ANULADAS;;178;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;128;CONTABILIZADAS NORMALES;;183;209;0;4;7;56;3;1;1;2;19;0;0;0;8;0;0;0;37;0;0;0;40;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;130;CONTABILIZADAS NORMALES;;182;209;0;7;7;48;3;1;0;0;27;2;0;1;12;0;0;0;45;0;1;0;25;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;133;CONTABILIZADAS NORMALES;;191;209;0;4;15;45;1;4;0;1;29;0;0;0;12;1;0;0;44;0;0;0;27;8;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;134;CONTABILIZADAS NORMALES;;182;208;1;5;10;53;2;1;0;0;24;0;0;1;11;0;0;1;47;0;1;0;21;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;135;CONTABILIZADAS NORMALES;;192;208;1;7;8;50;3;0;0;2;34;2;0;0;9;1;0;1;42;1;0;0;29;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;136;CONTABILIZADAS NORMALES;;195;209;0;5;5;42;1;1;0;2;27;0;1;0;15;0;0;0;53;0;0;0;34;9;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;139;CONTABILIZADAS NORMALES;;185;208;0;8;9;40;0;1;0;2;29;0;0;0;12;0;0;1;38;0;0;1;40;4;0
